,Dg,Dr,Fc
0,0.0,0.0,0.6192353535353535
0,0.1,0.0,0.9926050505050507
0,0.2,0.0,1.0
0,0.3,0.0,1.0
0,0.4,0.0,0.8348868686868687
0,0.5,0.0,0.9389313131313133
0,0.6,0.0,0.7757323232323231
0,0.7,0.0,0.631230303030303
0,0.8,0.0,0.4796777777777778
0,0.9,0.0,0.4273333333333333
0,1.0,0.0,0.3589686868686869
0,0.0,0.1,1.0
0,0.1,0.1,1.0
0,0.2,0.1,1.0
0,0.3,0.1,1.0
0,0.4,0.1,1.0
0,0.5,0.1,0.8751070707070707
0,0.6,0.1,0.6373989898989899
0,0.7,0.1,0.49734646464646454
0,0.8,0.1,0.2272141414141414
0,0.9,0.1,0.16829191919191921
0,1.0,0.1,0.017868686868686867
0,0.0,0.2,0.0
0,0.1,0.2,0.0
0,0.2,0.2,0.0
0,0.3,0.2,0.0
0,0.4,0.2,0.0
0,0.5,0.2,0.0
0,0.6,0.2,0.0
0,0.7,0.2,0.0
0,0.8,0.2,0.0
0,0.9,0.2,0.0
0,1.0,0.2,0.0
0,0.0,0.3,0.0
0,0.1,0.3,0.0
0,0.2,0.3,0.0
0,0.3,0.3,0.0
0,0.4,0.3,0.0
0,0.5,0.3,0.0
0,0.6,0.3,0.0
0,0.7,0.3,0.0
0,0.8,0.3,0.0
0,0.9,0.3,0.0
0,1.0,0.3,0.0
0,0.0,0.4,0.0
0,0.1,0.4,0.0
0,0.2,0.4,0.0
0,0.3,0.4,0.0
0,0.4,0.4,0.0
0,0.5,0.4,0.0
0,0.6,0.4,0.0
0,0.7,0.4,0.0
0,0.8,0.4,0.0
0,0.9,0.4,0.0
0,1.0,0.4,0.0
0,0.0,0.5,0.0
0,0.1,0.5,0.0
0,0.2,0.5,0.0
0,0.3,0.5,0.0
0,0.4,0.5,0.0
0,0.5,0.5,0.0
0,0.6,0.5,0.0
0,0.7,0.5,0.0
0,0.8,0.5,0.0
0,0.9,0.5,0.0
0,1.0,0.5,0.0
0,0.0,0.6,0.0
0,0.1,0.6,0.0
0,0.2,0.6,0.0
0,0.3,0.6,0.0
0,0.4,0.6,0.0
0,0.5,0.6,0.0
0,0.6,0.6,0.0
0,0.7,0.6,0.0
0,0.8,0.6,0.0
0,0.9,0.6,0.0
0,1.0,0.6,0.0
0,0.0,0.7,0.0
0,0.1,0.7,0.0
0,0.2,0.7,0.0
0,0.3,0.7,0.0
0,0.4,0.7,0.0
0,0.5,0.7,0.0
0,0.6,0.7,0.0
0,0.7,0.7,0.0
0,0.8,0.7,0.0
0,0.9,0.7,0.0
0,1.0,0.7,0.0
0,0.0,0.8,0.0
0,0.1,0.8,0.0
0,0.2,0.8,0.0
0,0.3,0.8,0.0
0,0.4,0.8,0.0
0,0.5,0.8,0.0
0,0.6,0.8,0.0
0,0.7,0.8,0.0
0,0.8,0.8,0.0
0,0.9,0.8,0.0
0,1.0,0.8,0.0
0,0.0,0.9,0.0
0,0.1,0.9,0.0
0,0.2,0.9,0.0
0,0.3,0.9,0.0
0,0.4,0.9,0.0
0,0.5,0.9,0.0
0,0.6,0.9,0.0
0,0.7,0.9,0.0
0,0.8,0.9,0.0
0,0.9,0.9,0.0
0,1.0,0.9,0.0
0,0.0,1.0,0.0
0,0.1,1.0,0.0
0,0.2,1.0,0.0
0,0.3,1.0,0.0
0,0.4,1.0,0.0
0,0.5,1.0,0.0
0,0.6,1.0,0.0
0,0.7,1.0,0.0
0,0.8,1.0,0.0
0,0.9,1.0,0.0
0,1.0,1.0,0.0
